Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Roller,Apache 207,4619420,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M,12/27/2019,1/3/2020,Germany
2,Dance Monkey,Tones And I,3632243,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Germany
3,Vor der Tür,Gzuz,3245369,https://open.spotify.com/track/2LgsKzO8lCeXk0TMd9veWW,12/27/2019,1/3/2020,Germany
4,Blinding Lights,The Weeknd,3011865,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Germany
5,KEIN SCHLAF,Nimo,2670224,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj,12/27/2019,1/3/2020,Germany
6,Skifahren (feat. Joshi Mizu),The Cratez,2557289,https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD,12/27/2019,1/3/2020,Germany
7,200 km/h,Apache 207,2327525,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q,12/27/2019,1/3/2020,Germany
8,Wieso tust Du dir das an?,Apache 207,2300773,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89,12/27/2019,1/3/2020,Germany
9,Ayy Macarena,Tyga,2233934,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,12/27/2019,1/3/2020,Germany
10,COLT,Samra,2232151,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb,12/27/2019,1/3/2020,Germany
11,Falling,Trevor Daniel,2180495,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Germany
12,Keine Liebe,RIN,2153082,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX,12/27/2019,1/3/2020,Germany
13,Alien,RIN,2124128,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV,12/27/2019,1/3/2020,Germany
14,110,Capital Bra,2117237,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC,12/27/2019,1/3/2020,Germany
15,Nur zur Info,Ufo361,2080053,https://open.spotify.com/track/6Y7ZEVr7lgO8FKGk2vZ2hi,12/27/2019,1/3/2020,Germany
16,Mit Dir,Loredana,1970249,https://open.spotify.com/track/26FNTVsgF4m31xvDgFfhGW,12/27/2019,1/3/2020,Germany
17,Ride It,Regard,1927174,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Germany
18,ROXANNE,Arizona Zervas,1786538,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Germany
19,Don't Start Now,Dua Lipa,1734824,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Germany
20,Doch in der Nacht,Apache 207,1675704,https://open.spotify.com/track/3uhTOxvu2h2YEm0uPNF2vi,12/27/2019,1/3/2020,Germany
21,2002,Sido,1651037,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b,12/27/2019,1/3/2020,Germany
22,Roses - Imanbek Remix,SAINt JHN,1636936,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,12/27/2019,1/3/2020,Germany
23,Turn Me On (feat. Vula),Riton,1595638,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9,12/27/2019,1/3/2020,Germany
24,KARMA,Nimo,1554928,https://open.spotify.com/track/3uTiW4Tjt6FqSPRYNgzW5t,12/27/2019,1/3/2020,Germany
25,hot girl bummer,blackbear,1523821,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,Germany
26,CASINO ROYAL,Kianush,1510339,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA,12/27/2019,1/3/2020,Germany
27,Der Bratan bleibt der gleiche,Capital Bra,1440881,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP,12/27/2019,1/3/2020,Germany
28,Vermissen (feat. Henning May),Juju,1429278,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz,12/27/2019,1/3/2020,Germany
29,RITMO (Bad Boys For Life),Black Eyed Peas,1366676,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Germany
30,everything i wanted,Billie Eilish,1364521,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Germany
31,bad guy,Billie Eilish,1354667,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Germany
32,Lose Control,MEDUZA,1331939,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,Germany
33,Light,Jerome,1331721,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH,12/27/2019,1/3/2020,Germany
34,Memories,Maroon 5,1265478,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Germany
35,Kein Problem,Apache 207,1218807,https://open.spotify.com/track/3Zigq1lfHmFRlyoRrh9k2s,12/27/2019,1/3/2020,Germany
36,STAR,Nimo,1215886,https://open.spotify.com/track/2B1hRfTwS9HtP1MxAma1nu,12/27/2019,1/3/2020,Germany
37,Tilidin,Capital Bra,1199521,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU,12/27/2019,1/3/2020,Germany
38,Señorita,Shawn Mendes,1173763,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Germany
39,Someone You Loved,Lewis Capaldi,1142433,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Germany
40,Circles,Post Malone,1137230,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Germany
41,Puls steigt,Capo,1106507,https://open.spotify.com/track/4isVKxoLiuaSROsXno2XWq,12/27/2019,1/3/2020,Germany
42,Monster,LUM!X,1066395,https://open.spotify.com/track/0YU17F0BlVXvmx5ytsR43w,12/27/2019,1/3/2020,Germany
43,Sex mit dir,Apache 207,1066189,https://open.spotify.com/track/0PEwVF6TStGXMTnQMAk9kl,12/27/2019,1/3/2020,Germany
44,Honda Civic,The Cratez,1049449,https://open.spotify.com/track/0WFgtxiLNr99YaoSdYR3Ud,12/27/2019,1/3/2020,Germany
45,My Oh My (feat. DaBaby),Camila Cabello,1032605,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Germany
46,95 BPM,Samra,1000539,https://open.spotify.com/track/6WSwle8wTdJhOGEukwTxWf,12/27/2019,1/3/2020,Germany
47,Himmel grau,Kontra K,989589,https://open.spotify.com/track/1xdj09kwlmFmVONYaYyNsY,12/27/2019,1/3/2020,Germany
48,Alessandra Ambrosio,Miami Yacine,989161,https://open.spotify.com/track/69NQ59CGoIRVTjdecpHfBQ,12/27/2019,1/3/2020,Germany
49,Piece Of Your Heart,MEDUZA,978762,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,12/27/2019,1/3/2020,Germany
50,HIGHEST IN THE ROOM,Travis Scott,978320,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Germany
51,Mary,Bausa,931308,https://open.spotify.com/track/2Jij6ebp6ToNKOn5DWlGxV,12/27/2019,1/3/2020,Germany
52,Wieder Lila,Samra,914956,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We,12/27/2019,1/3/2020,Germany
53,500 PS,Bonez MC,910074,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,12/27/2019,1/3/2020,Germany
54,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,902919,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Germany
55,Lose You To Love Me,Selena Gomez,884128,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Germany
56,PHANTOM (feat. Summer Cem),reezy,881453,https://open.spotify.com/track/1s0nANz8q6gEZOms034GbU,12/27/2019,1/3/2020,Germany
57,Tiffany,Shindy,875457,https://open.spotify.com/track/2L0H5LWEuIAvrzfzTruyCB,12/27/2019,1/3/2020,Germany
58,Schmeckt (feat. LX),Hemso,849792,https://open.spotify.com/track/0FIcehhFxx18pBlc1wodFB,12/27/2019,1/3/2020,Germany
59,I Don't Care (with Justin Bieber),Ed Sheeran,848383,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Germany
60,Eiskalt,Loredana,845893,https://open.spotify.com/track/5sMugAU31Ug5SAUUbhBIKU,12/27/2019,1/3/2020,Germany
61,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,839278,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,12/27/2019,1/3/2020,Germany
62,Better,Lena,824676,https://open.spotify.com/track/3jCMdvc8bFOKChETbFV9Zc,12/27/2019,1/3/2020,Germany
63,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,813279,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,12/27/2019,1/3/2020,Germany
64,Stars,VIZE,802274,https://open.spotify.com/track/0TId5TSbdcBP32haUV4Aet,12/27/2019,1/3/2020,Germany
65,Summer Cem (feat. Luciano),Summer Cem,801903,https://open.spotify.com/track/1hrHUEYoVBC1hNCXkX7tIA,12/27/2019,1/3/2020,Germany
66,Beautiful People (feat. Khalid),Ed Sheeran,794861,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Germany
67,CASINO,Katja Krasavice,793015,https://open.spotify.com/track/01AXHOcjq5Ikq1mKyNm9bM,12/27/2019,1/3/2020,Germany
68,Puta Madre - Bonustrack,RAF Camora,776921,https://open.spotify.com/track/0bg9us6qbMWTAMSF3y4egO,12/27/2019,1/3/2020,Germany
69,Unnormal,RAF Camora,775537,https://open.spotify.com/track/7CzSP7spDpZBP8edbtPIwI,12/27/2019,1/3/2020,Germany
70,Lucid Dreams,Juice WRLD,774387,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,Germany
71,All Around The World (La La La),R3HAB,765397,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp,12/27/2019,1/3/2020,Germany
72,Seele,Azet,762200,https://open.spotify.com/track/0b9tA3TNHCzfbTh9mGloNx,12/27/2019,1/3/2020,Germany
73,Hate Me (with Juice WRLD),Ellie Goulding,747526,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,12/27/2019,1/3/2020,Germany
74,Before You Go,Lewis Capaldi,742589,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,Germany
75,Post Malone (feat. RANI),Sam Feldt,742113,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,12/27/2019,1/3/2020,Germany
76,Sweet but Psycho,Ava Max,739478,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,12/27/2019,1/3/2020,Germany
77,Huracan,Samra,728911,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1,12/27/2019,1/3/2020,Germany
78,Hoch,Tim Bendzko,723946,https://open.spotify.com/track/7gqefhSJfWyN1qQ2huvEze,12/27/2019,1/3/2020,Germany
79,Zeit steht,Trettmann,722877,https://open.spotify.com/track/22ET3BvBsXcGiwxy1uXPbU,12/27/2019,1/3/2020,Germany
80,Old Town Road - Remix,Lil Nas X,719417,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,Germany
81,1000 Hits,Jamule,716001,https://open.spotify.com/track/22XKrkW2HeaLlxNDQs14iG,12/27/2019,1/3/2020,Germany
82,Close Your Eyes,Felix Jaehn,714225,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6,12/27/2019,1/3/2020,Germany
83,Swish,Summer Cem,709791,https://open.spotify.com/track/4ktwDUoKdVlk50lUlSIMEY,12/27/2019,1/3/2020,Germany
84,Torn,Ava Max,709121,https://open.spotify.com/track/2GdxQw8NwoeH8tKySg6nym,12/27/2019,1/3/2020,Germany
85,Shababs botten,Pashanim,702183,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw,12/27/2019,1/3/2020,Germany
86,Kein Plan,Loredana,699904,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU,12/27/2019,1/3/2020,Germany
87,194 Länder - Single Version,Mark Forster,696530,https://open.spotify.com/track/6kga9ZYARzHBprnLOENrMQ,12/27/2019,1/3/2020,Germany
88,GANG GANG,JACKBOYS,684285,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,12/27/2019,1/3/2020,Germany
89,In My Mind,Dynoro,680573,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,12/27/2019,1/3/2020,Germany
90,Adriana,RAF Camora,674128,https://open.spotify.com/track/5YbcMbH4xHRfep9rSxLRDt,12/27/2019,1/3/2020,Germany
91,Brot nach Hause,Apache 207,673764,https://open.spotify.com/track/5e0bzcsI1khimLSJhddHdS,12/27/2019,1/3/2020,Germany
92,Hauseingang,Pashanim,672021,https://open.spotify.com/track/1IikW5aCjY08gagX94j3fJ,12/27/2019,1/3/2020,Germany
93,2 Minuten,Apache 207,670226,https://open.spotify.com/track/1u5jYTx2WdptYWYpwqcE9n,12/27/2019,1/3/2020,Germany
94,Wieso?,Ra'is,668672,https://open.spotify.com/track/1LK1THOpF8Ul8rHeL2Ws9C,12/27/2019,1/3/2020,Germany
95,No Idea,Don Toliver,666115,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,12/27/2019,1/3/2020,Germany
96,Sorry,Veysel,665745,https://open.spotify.com/track/4usaWLgpOAmNT8RLWVmNiB,12/27/2019,1/3/2020,Germany
97,Adore You,Harry Styles,664047,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,Germany
98,Outnumbered,Dermot Kennedy,663820,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE,12/27/2019,1/3/2020,Germany
99,Fabergé,RIN,658480,https://open.spotify.com/track/7BYf1rypxrlcLK2DMLSjiw,12/27/2019,1/3/2020,Germany
100,Higher Love,Kygo,657554,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,12/27/2019,1/3/2020,Germany
101,Jetzt rufst du an,Loredana,655541,https://open.spotify.com/track/46QHfb0an5B7cgHRfuDHas,12/27/2019,1/3/2020,Germany
102,WHAT TO DO? (feat. Don Toliver),JACKBOYS,655317,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,12/27/2019,1/3/2020,Germany
103,Désolé,Fero47,643827,https://open.spotify.com/track/5pXlCsfB8VUXAQqQCFAcB7,12/27/2019,1/3/2020,Germany
104,Beef,Apache 207,629380,https://open.spotify.com/track/1COyMUbpLCVDzRBKn4TQY4,12/27/2019,1/3/2020,Germany
105,OUT WEST (feat. Young Thug),JACKBOYS,627708,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,12/27/2019,1/3/2020,Germany
106,Don't Call Me Up,Mabel,623123,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,12/27/2019,1/3/2020,Germany
107,Genick,Loredana,623090,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH,12/27/2019,1/3/2020,Germany
108,The Box,Roddy Ricch,621548,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,12/27/2019,1/3/2020,Germany
109,UP IN SMOKE,RIN,616852,https://open.spotify.com/track/0nnmA43aDEfmau2Vyo7b4g,12/27/2019,1/3/2020,Germany
110,gENAuSo,Dardan,615805,https://open.spotify.com/track/5nmVf5dSgH4A25qsev28Mi,12/27/2019,1/3/2020,Germany
111,Castles,Freya Ridings,607386,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n,12/27/2019,1/3/2020,Germany
112,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,605172,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,12/27/2019,1/3/2020,Germany
113,Moonlight,Gaullin,599124,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW,12/27/2019,1/3/2020,Germany
114,MONEYHONEYDRIP,Jamule,595721,https://open.spotify.com/track/7uj8AUQSUg8ZAzabYLwt8f,12/27/2019,1/3/2020,Germany
115,Diamonds (feat. Capital Bra),Summer Cem,593334,https://open.spotify.com/track/2nPJnablplDgVVgSDF9BAs,12/27/2019,1/3/2020,Germany
116,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,585940,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,12/27/2019,1/3/2020,Germany
117,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,585810,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,12/27/2019,1/3/2020,Germany
118,Bandit (with YoungBoy Never Broke Again),Juice WRLD,582744,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,12/27/2019,1/3/2020,Germany
119,Heartless,The Weeknd,579738,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,12/27/2019,1/3/2020,Germany
120,Gib Ihm,SHIRIN DAVID,579549,https://open.spotify.com/track/1rD0dknJwavElUpZ3AUyiO,12/27/2019,1/3/2020,Germany
121,7 rings,Ariana Grande,572831,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,12/27/2019,1/3/2020,Germany
122,Later Bitches,The Prince Karma,572118,https://open.spotify.com/track/0uL88Lp7C6i2WGHub1zrJ9,12/27/2019,1/3/2020,Germany
123,Rescue Me,OneRepublic,566721,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,12/27/2019,1/3/2020,Germany
124,Prinzessa,Capital Bra,564761,https://open.spotify.com/track/0Tq0EhQpVeQJwV3E3P5Jti,12/27/2019,1/3/2020,Germany
125,Futsal Shuffle 2020,Lil Uzi Vert,562491,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,12/27/2019,1/3/2020,Germany
126,Instagram,Dimitri Vegas & Like Mike,562058,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S,12/27/2019,1/3/2020,Germany
127,MOON,King Khalil,552315,https://open.spotify.com/track/3hXGbPkJH6LWRoRoMu7N9H,12/27/2019,1/3/2020,Germany
128,100%,Senidah,551981,https://open.spotify.com/track/58cWbqYLz06X69SqJiYeky,12/27/2019,1/3/2020,Germany
129,Run Run Run,Capo,548216,https://open.spotify.com/track/65NX0qTlnZTDYzTypKfOWD,12/27/2019,1/3/2020,Germany
130,Had Enough (feat. Quavo & Offset),Don Toliver,548076,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,12/27/2019,1/3/2020,Germany
131,Dior 2001,RIN,543707,https://open.spotify.com/track/6WusSsncC0Oo9sFHKwQii6,12/27/2019,1/3/2020,Germany
132,Weste Weiß,EREN CAN,538833,https://open.spotify.com/track/0lgUtKAcfoNG6nTITfPd6y,12/27/2019,1/3/2020,Germany
133,Hi Babe,Juju,530225,https://open.spotify.com/track/6erIvryBSsAdebNU4a7Mrs,12/27/2019,1/3/2020,Germany
134,cOcO MAmA,Dardan,529527,https://open.spotify.com/track/3rn5zo49rHQdIR4G8wvXNb,12/27/2019,1/3/2020,Germany
135,Daye,Fero47,529447,https://open.spotify.com/track/1vQPHu34f8qNnGQoyQ3i9v,12/27/2019,1/3/2020,Germany
136,Wolke 10,MERO,528254,https://open.spotify.com/track/200cTjC6si5Xz9af2QeHi2,12/27/2019,1/3/2020,Germany
137,Vincent,Sarah Connor,526003,https://open.spotify.com/track/7vs1Yi6SUphHp0eW6ys8HG,12/27/2019,1/3/2020,Germany
138,God Is A Dancer (with Mabel),Tiësto,525702,https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP,12/27/2019,1/3/2020,Germany
139,Takeaway,The Chainsmokers,523714,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,12/27/2019,1/3/2020,Germany
140,Trampoline,SHAED,521467,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,12/27/2019,1/3/2020,Germany
141,Bietigheimication,RIN,521031,https://open.spotify.com/track/4Y5ShamuGjxfQWdwY1Kz5R,12/27/2019,1/3/2020,Germany
142,Letzte Träne,Kontra K,520535,https://open.spotify.com/track/1FuJKBi6XdFyf8Yzmck468,12/27/2019,1/3/2020,Germany
143,Con Calma,Daddy Yankee,520097,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,12/27/2019,1/3/2020,Germany
144,High Hopes,Panic! At The Disco,518001,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,12/27/2019,1/3/2020,Germany
145,Abfahrt,FiNCH ASOZiAL,513502,https://open.spotify.com/track/7sIQ5eF9ZmZY6lGGwZKaP9,12/27/2019,1/3/2020,Germany
146,Blah Blah Blah,Armin van Buuren,509310,https://open.spotify.com/track/65lC7Ey8QaVLvItAMF6Ap8,12/27/2019,1/3/2020,Germany
147,Was du Liebe nennst,Bausa,508865,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo,12/27/2019,1/3/2020,Germany
148,If the World Was Ending - feat. Julia Michaels,JP Saxe,507722,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,12/27/2019,1/3/2020,Germany
149,Hollywood,RIN,507334,https://open.spotify.com/track/034jxfixe0Gogd6p0reMnP,12/27/2019,1/3/2020,Germany
150,Ohne mein Team,Bonez MC,505038,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3,12/27/2019,1/3/2020,Germany
151,Cherry Lady,Capital Bra,503084,https://open.spotify.com/track/4j5WelE5mkf9A2jmts729h,12/27/2019,1/3/2020,Germany
152,Lalala,Y2K,500721,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,12/27/2019,1/3/2020,Germany
153,DNA,KC Rebell,499596,https://open.spotify.com/track/43DtCXAz2qUJ4YiTX6ICT0,12/27/2019,1/3/2020,Germany
154,Tusa,KAROL G,498937,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,12/27/2019,1/3/2020,Germany
155,Pompa,Summer Cem,494554,https://open.spotify.com/track/5xrnFdas2cJEA7RVun9BGA,12/27/2019,1/3/2020,Germany
156,Tausend Tattoos,Sido,494295,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,12/27/2019,1/3/2020,Germany
157,Keine Fragen,Apache 207,492933,https://open.spotify.com/track/6jbzGtCG4O7GDWYB224h9C,12/27/2019,1/3/2020,Germany
158,Kleine Hure,Apache 207,489943,https://open.spotify.com/track/40tp8ONueMaoOc4qGj7Uwf,12/27/2019,1/3/2020,Germany
159,Suicidal,YNW Melly,488610,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,12/27/2019,1/3/2020,Germany
160,Vintage,RIN,482427,https://open.spotify.com/track/2DGaC5ET92bgg0fMunJKIF,12/27/2019,1/3/2020,Germany
161,Watermelon Sugar,Harry Styles,479359,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,Germany
162,BOP,DaBaby,479170,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,12/27/2019,1/3/2020,Germany
163,GATTI,JACKBOYS,477763,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,12/27/2019,1/3/2020,Germany
164,194 Länder,Mark Forster,477702,https://open.spotify.com/track/6rnJn3QbXeYUQpdFsr3kzm,12/27/2019,1/3/2020,Germany
165,lovely (with Khalid),Billie Eilish,476973,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,12/27/2019,1/3/2020,Germany
166,Mambo No. 5,Summer Cem,473981,https://open.spotify.com/track/1tqBuMynbCeneU8Qv7Tpd5,12/27/2019,1/3/2020,Germany
167,How Do You Sleep?,Sam Smith,470339,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Germany
168,Bei Dir,KUMMER,468549,https://open.spotify.com/track/3XpEKPj7KZt0yYWd7PQf5d,12/27/2019,1/3/2020,Germany
169,SOS (feat. Aloe Blacc),Avicii,467703,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,12/27/2019,1/3/2020,Germany
170,Benzema,Capital Bra,467428,https://open.spotify.com/track/0gyO8zq1Hw5GTQ33EXcc40,12/27/2019,1/3/2020,Germany
171,Nautilus,Shindy,467221,https://open.spotify.com/track/4qOTcNt9fUBA1PhA2VFg8W,12/27/2019,1/3/2020,Germany
172,Pyramiden,Sido,466546,https://open.spotify.com/track/7BQPDR1Zze52cysgBnUC3X,12/27/2019,1/3/2020,Germany
173,Casanova,Summer Cem,465357,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40,12/27/2019,1/3/2020,Germany
174,Play With Fire,Nico Santos,459477,https://open.spotify.com/track/240BX4w7PFkHptDrSVZgbA,12/27/2019,1/3/2020,Germany
175,Nummer 1,Capital Bra,453151,https://open.spotify.com/track/3ME2RHvx9JyVQjFFMbLIvt,12/27/2019,1/3/2020,Germany
176,Pump It Up,Endor,451356,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y,12/27/2019,1/3/2020,Germany
177,Viva la Dealer,SDP,449148,https://open.spotify.com/track/2vuFdbSOLje3khV4rLSEpm,12/27/2019,1/3/2020,Germany
178,Grey Goose,Apache 207,448243,https://open.spotify.com/track/3aOICrSrJP0LgjBGyq7P0R,12/27/2019,1/3/2020,Germany
179,Famous,Apache 207,447767,https://open.spotify.com/track/4t7HHURXOXQdqE9THQWXqB,12/27/2019,1/3/2020,Germany
180,Oblivion (feat. Amber Van Day),Love Harder,444001,https://open.spotify.com/track/3HNs1UAn7OZQiby7DXTIYl,12/27/2019,1/3/2020,Germany
181,1000x COOLER,TJ_beastboy,443817,https://open.spotify.com/track/5ZtRzAXZG81zaFY2DRwAgk,12/27/2019,1/3/2020,Germany
182,Shallow,Lady Gaga,440755,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,12/27/2019,1/3/2020,Germany
183,Tamam Tamam,Summer Cem,440688,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1,12/27/2019,1/3/2020,Germany
184,Narcotic,Younotus,438674,https://open.spotify.com/track/7M9w4C8WenlvWfNRAulZOX,12/27/2019,1/3/2020,Germany
185,Lambo Diablo GT (feat. Nimo & Juju) - Remix,Capo,438508,https://open.spotify.com/track/3TMW1GOB1lsmvf8er2dE8g,12/27/2019,1/3/2020,Germany
186,Affalterbach,Shindy,437098,https://open.spotify.com/track/2e3bkN2QCScPUnUQiA9ZA4,12/27/2019,1/3/2020,Germany
187,Standort,Pietro Lombardi,436261,https://open.spotify.com/track/3TRhqR8iMV4ZZko3dDnCJW,12/27/2019,1/3/2020,Germany
188,Blei (feat. Veysel),Kontra K,435817,https://open.spotify.com/track/0Cy2x4vkNHiZ2Z3XiZE5Yu,12/27/2019,1/3/2020,Germany
189,Body (feat. brando),Loud Luxury,434096,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,12/27/2019,1/3/2020,Germany
190,Sucker,Jonas Brothers,433837,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,12/27/2019,1/3/2020,Germany
191,Sad (feat. Afrojack),Chico Rose,429648,https://open.spotify.com/track/4ESPuOrSsRcBISzcMlzmY5,12/27/2019,1/3/2020,Germany
192,Mad Love,Mabel,427372,https://open.spotify.com/track/0bfWT3AgM7ZTuqesJvRP6H,12/27/2019,1/3/2020,Germany
