,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
195,Another One Bites The Dust - Remastered 2011,Queen,61572,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,7/3/2020,7/10/2020,Columbia
196,Ride It,Regard,61412,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,7/3/2020,7/10/2020,Columbia
197,Every Breath You Take,The Police,61316,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,7/3/2020,7/10/2020,Columbia
198,Stuck with U (with Justin Bieber),Ariana Grande,60553,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,7/3/2020,7/10/2020,Columbia
199,Whine Up,Nicky Jam,60513,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,7/3/2020,7/10/2020,Columbia
200,Magia (feat. Sebastián Yatra),Andrés Cepeda,59871,https://open.spotify.com/track/19EmSSV5hAiMD6kSZXcoJC,7/3/2020,7/10/2020,Columbia
1,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,584889,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp,7/10/2020,7/17/2020,Columbia
2,La Jeepeta - Remix,Nio Garcia,544100,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70,7/10/2020,7/17/2020,Columbia
3,La Curiosidad,Jay Wheeler,502765,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,7/10/2020,7/17/2020,Columbia
4,Relación,Sech,495704,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ,7/10/2020,7/17/2020,Columbia
5,Tattoo - Remix with Camilo,Rauw Alejandro,457030,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S,7/10/2020,7/17/2020,Columbia
6,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,425120,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9,7/10/2020,7/17/2020,Columbia
7,Rojo,J Balvin,424823,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi,7/10/2020,7/17/2020,Columbia
8,Azul,J Balvin,385306,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1,7/10/2020,7/17/2020,Columbia
9,Los Consejos,Greeicy,372522,https://open.spotify.com/track/17A6MT3U1YKYsYpn3tOEpA,7/10/2020,7/17/2020,Columbia
10,Elegí (feat. Dímelo Flow),Rauw Alejandro,352193,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau,7/10/2020,7/17/2020,Columbia
11,PORFA,Feid,350792,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW,7/10/2020,7/17/2020,Columbia
12,Favorito,Camilo,339956,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q,7/10/2020,7/17/2020,Columbia
13,Quiéreme Mientras Se Pueda,Manuel Turizo,295478,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M,7/10/2020,7/17/2020,Columbia
14,Tattoo,Rauw Alejandro,293835,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d,7/10/2020,7/17/2020,Columbia
15,Los Besos,Greeicy,293713,https://open.spotify.com/track/6QSu3mgC8kUYtEDoBBQcJG,7/10/2020,7/17/2020,Columbia
16,Amarillo,J Balvin,290172,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL,7/10/2020,7/17/2020,Columbia
17,Morado,J Balvin,285790,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr,7/10/2020,7/17/2020,Columbia
18,Caramelo,Ozuna,281410,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG,7/10/2020,7/17/2020,Columbia
19,Tak Tiki Tak,Harry Nach,279014,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM,7/10/2020,7/17/2020,Columbia
20,El Mismo Aire - con Pablo Alborán,Camilo,272000,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS,7/10/2020,7/17/2020,Columbia
21,Safaera,Bad Bunny,263504,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,7/10/2020,7/17/2020,Columbia
22,Tusa,KAROL G,257990,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,7/10/2020,7/17/2020,Columbia
23,Hasta Que Dios Diga,Anuel AA,256761,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1,7/10/2020,7/17/2020,Columbia
24,Blinding Lights,The Weeknd,256045,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,7/10/2020,7/17/2020,Columbia
25,Djadja (feat. Maluma) - Remix,Aya Nakamura,254352,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt,7/10/2020,7/17/2020,Columbia
26,Hola - Remix,Dalex,236700,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,7/10/2020,7/17/2020,Columbia
27,Yo Perreo Sola,Bad Bunny,230666,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,7/10/2020,7/17/2020,Columbia
28,"Ay, DiOs Mío!",KAROL G,227087,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776,7/10/2020,7/17/2020,Columbia
29,CÓMO SE SIENTE - Remix,Jhay Cortez,226368,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC,7/10/2020,7/17/2020,Columbia
30,Sigues Con El,Dímelo Flow,221360,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,7/10/2020,7/17/2020,Columbia
31,ADMV,Maluma,221046,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6,7/10/2020,7/17/2020,Columbia
32,Diosa,Myke Towers,211761,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky,7/10/2020,7/17/2020,Columbia
33,Blanco,J Balvin,199517,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590,7/10/2020,7/17/2020,Columbia
34,Dance Monkey,Tones And I,196988,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,7/10/2020,7/17/2020,Columbia
35,Fantasias,Rauw Alejandro,196687,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,7/10/2020,7/17/2020,Columbia
36,Jangueo,Alex Rose,194604,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg,7/10/2020,7/17/2020,Columbia
37,BORRAXXA,Feid,194599,https://open.spotify.com/track/16uvds0iYqjEK8m5EGEdVd,7/10/2020,7/17/2020,Columbia
38,LA CANCIÓN,J Balvin,191652,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,7/10/2020,7/17/2020,Columbia
39,Ignorantes,Bad Bunny,190181,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,7/10/2020,7/17/2020,Columbia
40,No Me Conoce - Remix,Jhay Cortez,184881,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,7/10/2020,7/17/2020,Columbia
41,Locura,Cali Y El Dandee,182475,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr,7/10/2020,7/17/2020,Columbia
42,El Efecto,Rauw Alejandro,179191,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj,7/10/2020,7/17/2020,Columbia
43,El Efecto - Remix,Rauw Alejandro,179096,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv,7/10/2020,7/17/2020,Columbia
44,Don't Start Now,Dua Lipa,177363,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,7/10/2020,7/17/2020,Columbia
45,Por Primera Vez,Camilo,177166,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D,7/10/2020,7/17/2020,Columbia
46,Si Veo a Tu Mamá,Bad Bunny,173889,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,7/10/2020,7/17/2020,Columbia
47,Negro,J Balvin,169906,https://open.spotify.com/track/2hsA9YWuF3C9Gosi4dpjJN,7/10/2020,7/17/2020,Columbia
48,La Difícil,Bad Bunny,161613,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt,7/10/2020,7/17/2020,Columbia
49,TKN (feat. Travis Scott),ROSALÍA,159723,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7,7/10/2020,7/17/2020,Columbia
50,Adicto (with Anuel AA & Ozuna),Tainy,157415,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,7/10/2020,7/17/2020,Columbia
51,China,Anuel AA,143331,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5,7/10/2020,7/17/2020,Columbia
52,Si Me Dices Que Sí,Reik,137917,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo,7/10/2020,7/17/2020,Columbia
53,Tutu,Camilo,136930,https://open.spotify.com/track/1Ol5LmdNDNpFu1oNwfgkux,7/10/2020,7/17/2020,Columbia
54,Dream Girl - Remix,Ir Sais,136794,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX,7/10/2020,7/17/2020,Columbia
55,Pa' Olvidarme De Ella,Piso 21,135208,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,7/10/2020,7/17/2020,Columbia
56,Roses - Imanbek Remix,SAINt JHN,130074,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,7/10/2020,7/17/2020,Columbia
57,Quizas,Rich Music LTD,129931,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,7/10/2020,7/17/2020,Columbia
58,Sigues Con El - Remix,Arcangel,127154,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI,7/10/2020,7/17/2020,Columbia
59,Destino,Greeicy,126636,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG,7/10/2020,7/17/2020,Columbia
60,Detente,Mike Bahía,122658,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX,7/10/2020,7/17/2020,Columbia
61,Vete,Bad Bunny,119822,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW,7/10/2020,7/17/2020,Columbia
62,Te Vi,Piso 21,119607,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,7/10/2020,7/17/2020,Columbia
63,RITMO (Bad Boys For Life),Black Eyed Peas,119122,https://open.spotify.com/track/4NCsrTzgVfsDo8nWyP8PPc,7/10/2020,7/17/2020,Columbia
64,Bajo La Mesa,Morat,119114,https://open.spotify.com/track/7BEPdOI0neT6p7PnLViqmH,7/10/2020,7/17/2020,Columbia
65,11:00 PM,Maluma,117523,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,7/10/2020,7/17/2020,Columbia
66,Callaita,Bad Bunny,116284,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,7/10/2020,7/17/2020,Columbia
67,TBT,Sebastian Yatra,115674,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU,7/10/2020,7/17/2020,Columbia
68,ily (i love you baby) (feat. Emilee),Surf Mesa,114710,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,7/10/2020,7/17/2020,Columbia
69,Bellaquita - Remix,Dalex,114672,https://open.spotify.com/track/4GGwM2Krtlx9G9ii1RaEOx,7/10/2020,7/17/2020,Columbia
70,Alguien Me Gusta,Andy Rivera,114408,https://open.spotify.com/track/4iFTIshL0xDCw8JJUl5AJ3,7/10/2020,7/17/2020,Columbia
71,La Forma en Que Me Miras,Super Yei,113182,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV,7/10/2020,7/17/2020,Columbia
72,Gris,J Balvin,111047,https://open.spotify.com/track/1syf62zw48zu4FrPwMtDHk,7/10/2020,7/17/2020,Columbia
73,Loco,Beéle,110160,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03,7/10/2020,7/17/2020,Columbia
74,La Santa,Bad Bunny,108081,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK,7/10/2020,7/17/2020,Columbia
75,Reggaetonera,Anuel AA,107792,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH,7/10/2020,7/17/2020,Columbia
76,death bed (coffee for your head),Powfu,106962,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,7/10/2020,7/17/2020,Columbia
77,Loco - Remix,Farruko,105174,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq,7/10/2020,7/17/2020,Columbia
78,Break My Heart,Dua Lipa,104546,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,7/10/2020,7/17/2020,Columbia
79,El Mismo Aire,Camilo,104534,https://open.spotify.com/track/3a29UVSEIj6x3YcfKs2rdi,7/10/2020,7/17/2020,Columbia
80,Watermelon Sugar,Harry Styles,103019,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,7/10/2020,7/17/2020,Columbia
81,Desconocidos,Mau y Ricky,102669,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h,7/10/2020,7/17/2020,Columbia
82,CANCIÓN CON YANDEL,Yandel,101372,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R,7/10/2020,7/17/2020,Columbia
83,PAM,Justin Quiles,101112,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn,7/10/2020,7/17/2020,Columbia
84,QUE PRETENDES,J Balvin,99627,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,7/10/2020,7/17/2020,Columbia
85,MAMACITA,Black Eyed Peas,98285,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3,7/10/2020,7/17/2020,Columbia
86,Girl,Myke Towers,97717,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5,7/10/2020,7/17/2020,Columbia
87,BYE ME FUI,Bad Bunny,96074,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2,7/10/2020,7/17/2020,Columbia
88,La Cama - Remix,Lunay,96006,https://open.spotify.com/track/2tGENA8xef0wABdHvyXwv9,7/10/2020,7/17/2020,Columbia
89,La Presión,Lalo Ebratt,95301,https://open.spotify.com/track/0LXk0yWcGfACtMKX0igobq,7/10/2020,7/17/2020,Columbia
90,ROCKSTAR (feat. Roddy Ricch),DaBaby,94228,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,7/10/2020,7/17/2020,Columbia
91,Indeciso,Reik,93659,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,7/10/2020,7/17/2020,Columbia
92,La Mitad,Camilo,93004,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx,7/10/2020,7/17/2020,Columbia
93,Rain On Me (with Ariana Grande),Lady Gaga,92021,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,7/10/2020,7/17/2020,Columbia
94,Djadja,Aya Nakamura,91936,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh,7/10/2020,7/17/2020,Columbia
95,PA' ROMPERLA,Bad Bunny,91602,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i,7/10/2020,7/17/2020,Columbia
96,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,90261,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6,7/10/2020,7/17/2020,Columbia
97,Señorita,Shawn Mendes,90164,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,7/10/2020,7/17/2020,Columbia
98,Singapur,El Alfa,89071,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E,7/10/2020,7/17/2020,Columbia
99,Soltera - Remix,Lunay,88738,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z,7/10/2020,7/17/2020,Columbia
100,Si Te Vas,Sech,88646,https://open.spotify.com/track/2aGN6PplBq0xigh2lmqLbw,7/10/2020,7/17/2020,Columbia
101,Feel Me,Rich Music LTD,88535,https://open.spotify.com/track/6KeweE0BlXx3AtjMKhBLaz,7/10/2020,7/17/2020,Columbia
102,Un Año,Sebastian Yatra,87737,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,7/10/2020,7/17/2020,Columbia
103,Toosie Slide,Drake,87605,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,7/10/2020,7/17/2020,Columbia
104,Si Se Da - Remix,Myke Towers,85978,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD,7/10/2020,7/17/2020,Columbia
105,Confía,Sech,85033,https://open.spotify.com/track/5kbps8unnGH4raN5WduZuq,7/10/2020,7/17/2020,Columbia
106,Infeliz,Arcangel,84457,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m,7/10/2020,7/17/2020,Columbia
107,Medusa,Jhay Cortez,83969,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP,7/10/2020,7/17/2020,Columbia
108,Pa Mí - Remix,Dalex,83722,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,7/10/2020,7/17/2020,Columbia
109,How You Like That,BLACKPINK,83460,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,7/10/2020,7/17/2020,Columbia
110,La Oficial,Andy Rivera,82911,https://open.spotify.com/track/3o0Ue4lVZ549Ro12URAJfX,7/10/2020,7/17/2020,Columbia
111,Cuando Nadie Ve,Morat,82882,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k,7/10/2020,7/17/2020,Columbia
112,Verde,J Balvin,82677,https://open.spotify.com/track/3HTbI3yUJQw3fP0Po8qLcD,7/10/2020,7/17/2020,Columbia
113,No Te Vayas,Camilo,82646,https://open.spotify.com/track/1q1sjzJpUYEkTbA9Uz0qrU,7/10/2020,7/17/2020,Columbia
114,A Tu Merced,Bad Bunny,82160,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0,7/10/2020,7/17/2020,Columbia
115,Mejor,Dalex,82132,https://open.spotify.com/track/6C1jKbkCUgFws7M0M4oGCB,7/10/2020,7/17/2020,Columbia
116,A Mí,Rels B,82122,https://open.spotify.com/track/7MmrcXVA7A5zZ2CbDuGHNa,7/10/2020,7/17/2020,Columbia
117,Calma - Remix,Pedro Capó,81399,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,7/10/2020,7/17/2020,Columbia
118,#NAME?,Dalex,80499,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0,7/10/2020,7/17/2020,Columbia
119,Rosa,J Balvin,80321,https://open.spotify.com/track/464uJVLmr0fDJGXOnciaDe,7/10/2020,7/17/2020,Columbia
120,Otro Trago - Remix,Sech,80112,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,7/10/2020,7/17/2020,Columbia
121,La Difícil,Camilo,79969,https://open.spotify.com/track/6fNJm8sYmCBbmkKpKgTReA,7/10/2020,7/17/2020,Columbia
122,Definitivamente,Daddy Yankee,79620,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv,7/10/2020,7/17/2020,Columbia
123,Si Estuviésemos Juntos,Bad Bunny,79473,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI,7/10/2020,7/17/2020,Columbia
124,BAD CON NICKY,Bad Bunny,78941,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI,7/10/2020,7/17/2020,Columbia
125,Con Altura,ROSALÍA,78930,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,7/10/2020,7/17/2020,Columbia
126,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,77888,https://open.spotify.com/track/3k2pw4IRZXUS5W64yd7uVX,7/10/2020,7/17/2020,Columbia
127,ADMV - Versión Urbana,Maluma,77884,https://open.spotify.com/track/3wBKCNw7BFIalnqe4VXzdK,7/10/2020,7/17/2020,Columbia
128,La Boca,Mau y Ricky,77653,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3,7/10/2020,7/17/2020,Columbia
129,Una Vida Para Recordar,Piso 21,77193,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus,7/10/2020,7/17/2020,Columbia
130,Si Tu Amor No Vuelve,Greeicy,77126,https://open.spotify.com/track/1Q2uBll5mMW8BY4T9XSrCo,7/10/2020,7/17/2020,Columbia
131,Besos En Guerra,Morat,77065,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA,7/10/2020,7/17/2020,Columbia
132,Inolvidable,Ovy On The Drums,76158,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF,7/10/2020,7/17/2020,Columbia
133,Fantasias - Remix,Rauw Alejandro,76114,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV,7/10/2020,7/17/2020,Columbia
134,Otro Trago,Sech,75755,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,7/10/2020,7/17/2020,Columbia
135,Esta Noche,Mike Bahía,75052,https://open.spotify.com/track/4vhkI8x68EaGQR3Kn7Pwhc,7/10/2020,7/17/2020,Columbia
136,Savage Love (Laxed - Siren Beat),Jawsh 685,74762,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,7/10/2020,7/17/2020,Columbia
137,El Equivocado,Andrés Cepeda,74720,https://open.spotify.com/track/6yCrxyjQxkdYpNexoNixK2,7/10/2020,7/17/2020,Columbia
138,Me Rehúso,Danny Ocean,74715,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o,7/10/2020,7/17/2020,Columbia
139,No Es Justo,J Balvin,73859,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,7/10/2020,7/17/2020,Columbia
140,RELXJXTE,Feid,73793,https://open.spotify.com/track/0eI8yxgCGbguwbK26n22RQ,7/10/2020,7/17/2020,Columbia
141,Someone You Loved,Lewis Capaldi,73711,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,7/10/2020,7/17/2020,Columbia
142,Follow,KAROL G,73588,https://open.spotify.com/track/2w1rq80FIrbxeJy9WYURxw,7/10/2020,7/17/2020,Columbia
143,No Te Vayas,Carlos Vives,73268,https://open.spotify.com/track/0bSZTzZALj8fVdpKvP6xiG,7/10/2020,7/17/2020,Columbia
144,La Bella y la Bestia,Reik,72825,https://open.spotify.com/track/0G0p7mc4wEaQTsUpzEmkEs,7/10/2020,7/17/2020,Columbia
145,Adan y Eva,Paulo Londra,72804,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,7/10/2020,7/17/2020,Columbia
146,Dime Cuantas Veces (Remix) [feat. Justin Quiles],Micro TDH,72637,https://open.spotify.com/track/4MWb6mltydQn84NrTm7Gpl,7/10/2020,7/17/2020,Columbia
147,Bohemian Rhapsody - Remastered 2011,Queen,72603,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,7/10/2020,7/17/2020,Columbia
148,Memories,Maroon 5,72413,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,7/10/2020,7/17/2020,Columbia
149,Te Mando Flores,Fonseca,71798,https://open.spotify.com/track/2in1gSZtv2lRbcZUmN9aAl,7/10/2020,7/17/2020,Columbia
150,Procura,ChiChi Peralta,71682,https://open.spotify.com/track/2q9udNV9NK0BL3q9p6TLxf,7/10/2020,7/17/2020,Columbia
151,Caraluna,Bacilos,71556,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums,7/10/2020,7/17/2020,Columbia
152,La player (Bandolera),Zion & Lennox,71512,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,7/10/2020,7/17/2020,Columbia
153,Que Mas Pues - Remix,Sech,71178,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,7/10/2020,7/17/2020,Columbia
154,UN PESO,J Balvin,71012,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa,7/10/2020,7/17/2020,Columbia
155,La flaca,Jarabe De Palo,70976,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb,7/10/2020,7/17/2020,Columbia
156,Shape of You,Ed Sheeran,70815,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,7/10/2020,7/17/2020,Columbia
157,La Lá,Mike Bahía,70227,https://open.spotify.com/track/1MYMEtHi6fmmGiDFLrBiY3,7/10/2020,7/17/2020,Columbia
158,bad guy,Billie Eilish,70017,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,7/10/2020,7/17/2020,Columbia
159,FEEL THE BEAT,Black Eyed Peas,69771,https://open.spotify.com/track/2nfFzgqp18tzFWrUCxFHpo,7/10/2020,7/17/2020,Columbia
160,FRESH KERIAS,Feid,69356,https://open.spotify.com/track/6bfsLxdThst8i1LfkVmLZr,7/10/2020,7/17/2020,Columbia
161,Amantes,Elder Dayán Díaz,69299,https://open.spotify.com/track/0rm6Ey3w4PrWdRac85vXN7,7/10/2020,7/17/2020,Columbia
162,Me Gusta,Shakira,69286,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a,7/10/2020,7/17/2020,Columbia
163,Porno,Rich Music LTD,69078,https://open.spotify.com/track/34ZngZgo8xicbt1EE8Ob8Z,7/10/2020,7/17/2020,Columbia
164,Amarte Mas No Pude,Diomedes Diaz,69060,https://open.spotify.com/track/5ETEk6G40TFStO62Pa7Khe,7/10/2020,7/17/2020,Columbia
165,Muévelo,Nicky Jam,69031,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ,7/10/2020,7/17/2020,Columbia
166,Cartagena,Fonseca,68764,https://open.spotify.com/track/1UGXsiNn0ACf2MXuHXuiJE,7/10/2020,7/17/2020,Columbia
167,"Yo x Ti, Tu x Mi",ROSALÍA,68468,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,7/10/2020,7/17/2020,Columbia
168,Dulce Pecado,Jessi Uribe,68247,https://open.spotify.com/track/1dcPvuDlIyEZSCtYXtZlMm,7/10/2020,7/17/2020,Columbia
169,Que Tire Pa Lante,Daddy Yankee,67969,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,7/10/2020,7/17/2020,Columbia
170,Se Me Olvidó,Christian Nodal,67012,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN,7/10/2020,7/17/2020,Columbia
171,Tal Vez,Paulo Londra,67008,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,7/10/2020,7/17/2020,Columbia
172,Keii,Anuel AA,66999,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs,7/10/2020,7/17/2020,Columbia
173,Déjate Querer,Lalo Ebratt,66952,https://open.spotify.com/track/3mN2DtljBhnrIpc3Nu2pJ8,7/10/2020,7/17/2020,Columbia
174,La Playa - Remix,Myke Towers,66574,https://open.spotify.com/track/70zg99pT51vB4wlMS7e4q7,7/10/2020,7/17/2020,Columbia
175,No Te Contaron Mal,Christian Nodal,66566,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj,7/10/2020,7/17/2020,Columbia
176,Lamento Boliviano,Los Enanitos Verdes,66371,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA,7/10/2020,7/17/2020,Columbia
177,De Los Besos Que Te Di,Christian Nodal,66180,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97,7/10/2020,7/17/2020,Columbia
178,Qué Pena,Maluma,66129,https://open.spotify.com/track/5099x34vBakWpGkHourFxP,7/10/2020,7/17/2020,Columbia
179,Bajo El Agua,Manuel Medrano,65747,https://open.spotify.com/track/5QSYWruQQ7kBCHScI4xJ9g,7/10/2020,7/17/2020,Columbia
180,Amantes,Greeicy,65696,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD,7/10/2020,7/17/2020,Columbia
181,Say So,Doja Cat,65592,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,7/10/2020,7/17/2020,Columbia
182,Believer,Imagine Dragons,65086,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,7/10/2020,7/17/2020,Columbia
